from_station,from_name,from_lat,from_lon,to_station,to_name,to_lat,to_lon,period,flow,distance_km,move_cost
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1050,EICC,55.94607055533778,-3.2103963310007657,AM,2,0.32449338667130767,0.32449338667130767
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1721,Tollcross,55.944248052468346,-3.2031045991104747,AM,2,0.38859514944493173,0.38859514944493173
1052,Surgeons Hall,55.94664279961712,-3.185474585938892,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,2,0.7346690744536579,0.7346690744536579
1091,Holyrood Road,55.94955950619123,-3.180413257527789,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,1,1.083204195227703,0.5416020976138515
1091,Holyrood Road,55.94955950619123,-3.180413257527789,1798,Chambers Street,55.94760044619224,-3.188919736735216,AM,2,0.5726802252376386,0.5726802252376386
1096,West Crosscauseway,55.9438359841253,-3.1849514084976818,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,4,0.8470814144474866,1.6941628288949733
1720,Dundas Street,55.9607624081837,-3.201278014771333,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,2,1.5400883579164162,1.5400883579164162
1720,Dundas Street,55.9607624081837,-3.201278014771333,258,Stockbridge,55.95856558589723,-3.208070182227744,AM,1,0.48827052246826314,0.24413526123413157
1726,Simon Square,55.94485886752089,-3.182589723460069,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,2,0.9459097498226494,0.9459097498226494
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,1,2.027335121436016,1.013667560718008
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1730,East London Street,55.95995414501485,-3.1871977585476543,AM,2,0.4704824892362722,0.4704824892362722
1753,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,1763,Comely Bank Road,55.95941012836135,-3.2156613606136943,AM,1,0.4840331007963498,0.2420165503981749
1765,Haymarket Terrace,55.946063966641006,-3.2230240243595745,1102,Haymarket Station,55.94556945067266,-3.21818468327956,AM,2,0.3063052268672005,0.3063052268672005
1769,Brunswick Place,55.96085174106396,-3.180985762469163,1090,Hillside Crescent,55.95787194536338,-3.175888370919665,AM,2,0.45875418405671564,0.45875418405671564
1769,Brunswick Place,55.96085174106396,-3.180985762469163,251,Waverley Station,55.952641035774384,-3.187526919462357,AM,2,0.9996721349748504,0.9996721349748504
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,1,1.4115513693263395,0.7057756846631698
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1028,Hunter Square,55.94979756563328,-3.1877950320129003,AM,3,0.7651007853937359,1.1476511780906038
1823,Boroughmuir,55.94007146917616,-3.215335840688084,1092,Dalry Road Lidl,55.94179129688128,-3.2224153095965,AM,2,0.4805595043408512,0.4805595043408512
183,Waverley Bridge,55.951980756193535,-3.191890332557904,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,4,0.6372160096972825,1.274432019394565
2268,Picardy Place,55.95653524179326,-3.1862476120746805,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,3,1.2530679998160588,1.879601999724088
248,Bristo Square,55.94583371599285,-3.189053072075467,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,5,0.5291157043388541,1.3227892608471352
256,St Andrews House,55.95316433242384,-3.181682340931843,189,City Chambers,55.95010933017899,-3.190257770093808,AM,1,0.6327928992282867,0.31639644961414337
265,Meadows East,55.939809466328285,-3.182738850746432,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,1,1.2135629082370405,0.6067814541185202
265,Meadows East,55.939809466328285,-3.182738850746432,1721,Tollcross,55.944248052468346,-3.2031045991104747,AM,1,1.3608802859997886,0.6804401429998943
265,Meadows East,55.939809466328285,-3.182738850746432,1727,Causewayside,55.93650603148236,-3.1801663476151134,AM,1,0.40074415596998414,0.20037207798499207
265,Meadows East,55.939809466328285,-3.182738850746432,246,Royal Commonwealth Pool,55.93900024788877,-3.173923554315593,AM,1,0.5563142981038522,0.2781571490519261
289,Castle Street,55.95150073734976,-3.2031839065252825,1019,Grassmarket,55.947097278583385,-3.1972457326126005,AM,4,0.6135468976264821,1.2270937952529641
1019,Grassmarket,55.947097278583385,-3.1972457326126005,1052,Surgeons Hall,55.94664279961712,-3.185474585938892,OP,1,0.7346690744536579,0.36733453722682896
1019,Grassmarket,55.947097278583385,-3.1972457326126005,1096,West Crosscauseway,55.9438359841253,-3.1849514084976818,OP,3,0.8470814144474866,1.27062212167123
1019,Grassmarket,55.947097278583385,-3.1972457326126005,1720,Dundas Street,55.9607624081837,-3.201278014771333,OP,1,1.5400883579164162,0.7700441789582081
1019,Grassmarket,55.947097278583385,-3.1972457326126005,183,Waverley Bridge,55.951980756193535,-3.191890332557904,OP,2,0.6372160096972825,0.6372160096972825
1019,Grassmarket,55.947097278583385,-3.1972457326126005,2268,Picardy Place,55.95653524179326,-3.1862476120746805,OP,2,1.2530679998160588,1.2530679998160588
1019,Grassmarket,55.947097278583385,-3.1972457326126005,248,Bristo Square,55.94583371599285,-3.189053072075467,OP,3,0.5291157043388541,0.7936735565082812
1019,Grassmarket,55.947097278583385,-3.1972457326126005,265,Meadows East,55.939809466328285,-3.182738850746432,OP,1,1.2135629082370405,0.6067814541185202
1019,Grassmarket,55.947097278583385,-3.1972457326126005,289,Castle Street,55.95150073734976,-3.2031839065252825,OP,2,0.6135468976264821,0.6135468976264821
1028,Hunter Square,55.94979756563328,-3.1877950320129003,1818,Dynamic Earth,55.951089465236365,-3.17572460948655,OP,2,0.7651007853937359,0.7651007853937359
1090,Hillside Crescent,55.95787194536338,-3.175888370919665,1769,Brunswick Place,55.96085174106396,-3.180985762469163,OP,1,0.45875418405671564,0.22937709202835782
1092,Dalry Road Lidl,55.94179129688128,-3.2224153095965,1823,Boroughmuir,55.94007146917616,-3.215335840688084,OP,1,0.4805595043408512,0.2402797521704256
1102,Haymarket Station,55.94556945067266,-3.21818468327956,1765,Haymarket Terrace,55.946063966641006,-3.2230240243595745,OP,1,0.3063052268672005,0.15315261343360026
1721,Tollcross,55.944248052468346,-3.2031045991104747,1039,Lothian Road,55.94740919920712,-3.2057654971365537,OP,2,0.38859514944493173,0.38859514944493173
1730,East London Street,55.95995414501485,-3.1871977585476543,1729,McDonald Road,55.9640310527501,-3.1851753729504253,OP,1,0.4704824892362722,0.2352412446181361
1798,Chambers Street,55.94760044619224,-3.188919736735216,1091,Holyrood Road,55.94955950619123,-3.180413257527789,OP,1,0.5726802252376386,0.2863401126188193
246,Royal Commonwealth Pool,55.93900024788877,-3.173923554315593,265,Meadows East,55.939809466328285,-3.182738850746432,OP,1,0.5563142981038522,0.2781571490519261
251,Waverley Station,55.952641035774384,-3.187526919462357,1769,Brunswick Place,55.96085174106396,-3.180985762469163,OP,1,0.9996721349748504,0.4998360674874252
258,Stockbridge,55.95856558589723,-3.208070182227744,1720,Dundas Street,55.9607624081837,-3.201278014771333,OP,1,0.48827052246826314,0.24413526123413157
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1050,EICC,55.94607055533778,-3.2103963310007657,PM,3,0.32449338667130767,0.4867400800069615
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,2,0.38859514944493173,0.38859514944493173
1052,Surgeons Hall,55.94664279961712,-3.185474585938892,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,0.7346690744536579,0.7346690744536579
1091,Holyrood Road,55.94955950619123,-3.180413257527789,1798,Chambers Street,55.94760044619224,-3.188919736735216,PM,2,0.5726802252376386,0.5726802252376386
1096,West Crosscauseway,55.9438359841253,-3.1849514084976818,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,5,0.8470814144474866,2.1177035361187166
1720,Dundas Street,55.9607624081837,-3.201278014771333,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,1.5400883579164162,1.5400883579164162
1720,Dundas Street,55.9607624081837,-3.201278014771333,258,Stockbridge,55.95856558589723,-3.208070182227744,PM,2,0.48827052246826314,0.48827052246826314
1726,Simon Square,55.94485886752089,-3.182589723460069,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,0.9459097498226494,0.9459097498226494
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,1,2.027335121436016,1.013667560718008
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1730,East London Street,55.95995414501485,-3.1871977585476543,PM,3,0.4704824892362722,0.7057237338544083
1753,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,1763,Comely Bank Road,55.95941012836135,-3.2156613606136943,PM,1,0.4840331007963498,0.2420165503981749
1753,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,349,Orchard Brae House,55.95508276879095,-3.2236342639564555,PM,1,0.49536073771670214,0.24768036885835107
1765,Haymarket Terrace,55.946063966641006,-3.2230240243595745,1102,Haymarket Station,55.94556945067266,-3.21818468327956,PM,2,0.3063052268672005,0.3063052268672005
1769,Brunswick Place,55.96085174106396,-3.180985762469163,1090,Hillside Crescent,55.95787194536338,-3.175888370919665,PM,2,0.45875418405671564,0.45875418405671564
1769,Brunswick Place,55.96085174106396,-3.180985762469163,251,Waverley Station,55.952641035774384,-3.187526919462357,PM,2,0.9996721349748504,0.9996721349748504
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,1.4115513693263395,1.4115513693263395
1818,Dynamic Earth,55.951089465236365,-3.17572460948655,1028,Hunter Square,55.94979756563328,-3.1877950320129003,PM,3,0.7651007853937359,1.1476511780906038
1823,Boroughmuir,55.94007146917616,-3.215335840688084,1092,Dalry Road Lidl,55.94179129688128,-3.2224153095965,PM,2,0.4805595043408512,0.4805595043408512
183,Waverley Bridge,55.951980756193535,-3.191890332557904,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,5,0.6372160096972825,1.5930400242432063
225,Waverley Court,55.95173449698344,-3.1841785354060903,189,City Chambers,55.95010933017899,-3.190257770093808,PM,1,0.4194111415071962,0.2097055707535981
2268,Picardy Place,55.95653524179326,-3.1862476120746805,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,4,1.2530679998160588,2.5061359996321175
248,Bristo Square,55.94583371599285,-3.189053072075467,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,6,0.5291157043388541,1.5873471130165624
256,St Andrews House,55.95316433242384,-3.181682340931843,189,City Chambers,55.95010933017899,-3.190257770093808,PM,1,0.6327928992282867,0.31639644961414337
265,Meadows East,55.939809466328285,-3.182738850746432,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,1,1.3608802859997886,0.6804401429998943
265,Meadows East,55.939809466328285,-3.182738850746432,1727,Causewayside,55.93650603148236,-3.1801663476151134,PM,2,0.40074415596998414,0.40074415596998414
265,Meadows East,55.939809466328285,-3.182738850746432,246,Royal Commonwealth Pool,55.93900024788877,-3.173923554315593,PM,2,0.5563142981038522,0.5563142981038522
289,Castle Street,55.95150073734976,-3.2031839065252825,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,3,0.6135468976264821,0.9203203464397232
289,Castle Street,55.95150073734976,-3.2031839065252825,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,1,0.8064768806349321,0.40323844031746603
